,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel
4,Ford Figo,Ford,2012,175000,41000,Diesel
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
6,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
8,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel
12,Audi A8,Audi,2017,1000000,4000,Petrol
13,Audi Q7,Audi,2014,500000,16934,Diesel
14,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
15,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
16,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel
17,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
18,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
19,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
20,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel
21,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
22,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
23,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
24,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel
25,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
26,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
27,Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel
28,Renault Lodgy 85,Renault,2018,689999,20000,Diesel
29,Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel
30,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel
31,Renault Duster 110,Renault,2012,501000,38000,Diesel
32,Renault Duster 85,Renault,2013,489999,27000,Diesel
33,Honda City 1.5,Honda,2011,280000,33000,Petrol
34,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
35,Honda Amaze,Honda,2013,284999,46000,Diesel
36,Honda Amaze 1.5,Honda,2015,345000,36000,Diesel
37,Honda City,Honda,2015,499999,55000,Petrol
38,Datsun Redi GO,Datsun,2017,235000,16000,Petrol
39,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
40,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
41,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel
42,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol
43,Honda City ZX,Honda,2017,170000,15000,Diesel
44,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
45,Tata Indigo eCS,Tata,2017,200000,130000,Diesel
46,Mahindra Scorpio SLE,Mahindra,2012,570000,19000,Diesel
47,Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol
48,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol
49,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
50,Honda City,Honda,2015,448999,54000,Petrol
51,Mini Cooper S,Mini,2013,1891111,13000,Petrol
52,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
53,Honda Amaze,Honda,2015,344999,22000,Petrol
54,Renault Duster,Renault,2014,449999,50000,Diesel
55,Mini Cooper S,Mini,2013,1891111,13500,Petrol
56,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
57,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
58,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
59,Ford EcoSport,Ford,2017,489999,39000,Petrol
60,Honda Brio,Honda,2012,224999,30000,Petrol
61,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel
62,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
63,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel
64,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
65,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol
66,Honda City 1.5,Honda,2005,90000,50000,Petrol
67,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel
68,BMW 3 Series,BMW,2011,600000,60500,Petrol
69,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
70,Toyota Etios GD,Toyota,2013,350000,60000,Diesel
71,Ford Figo Diesel,Ford,2012,210000,35000,Diesel
72,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
73,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel
74,BMW 7 Series,BMW,2009,1600000,35000,Petrol
75,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel
76,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol
77,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel
78,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
